# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2026 Track 1, outer loop. Centreline extracted from the ROS occupancy
# grid beside this file by tools/centerline_from_map.py (centerline_around,
# hole_rank=0). The corridor BRANCHES -- an outer ring plus an inner section --
# so it has no unique centreline; it has one per loop, and a loop is named by
# the hole it encircles. This is the outer lap.
# Rows of cones are welded into continuous wall before extraction
# (connect_cone_rows): as separate blobs a cone row is mostly free space between
# the cones, so filling those holes -- which the skeleton needs -- turned a
# BOUNDARY into driveable track. 2263 px of formerly free space are wall here.
# The extracted line clears the nearest weld by 0.70 m against a 0.12 m car
# half-width, and no point of it lies inside one.
# lap 69.2 m, 800 points, closure 0.07 m, 100% of the centreline inside the corridor.
5.773411,0.346920,1.159741,1.159741
5.852019,0.382394,1.180042,1.180042
5.929719,0.419638,1.204159,1.204159
6.005116,0.460964,1.202082,1.202082
6.076409,0.508566,1.236932,1.236932
6.143199,0.562148,1.241974,1.241974
6.206350,0.620005,1.250000,1.250000
6.265777,0.682276,1.274755,1.274755
6.322699,0.747274,1.280625,1.280625
6.377696,0.813942,1.320038,1.320038
6.431645,0.881429,1.341641,1.341641
6.484522,0.949751,1.343503,1.343503
6.533511,1.020508,1.364734,1.364734
6.577131,1.094422,1.379311,1.379311
6.616506,1.170606,1.375682,1.375682
6.650459,1.249357,1.375682,1.375682
6.677109,1.331136,1.386542,1.386542
6.699271,1.414343,1.372953,1.372953
6.717099,1.498518,1.372953,1.372953
6.730115,1.583705,1.394633,1.394633
6.738790,1.669578,1.400000,1.400000
6.743438,1.755632,1.400000,1.400000
6.744180,1.841873,1.400000,1.400000
6.741015,1.928039,1.400000,1.400000
6.733688,2.013968,1.394633,1.394633
6.720478,2.098999,1.382932,1.382932
6.701542,2.182611,1.364734,1.364734
6.676403,2.264637,1.360147,1.360147
6.645744,2.344945,1.346291,1.346291
6.610818,2.423909,1.328533,1.328533
6.573198,2.501717,1.331353,1.331353
6.533690,2.578546,1.320038,1.320038
6.491858,2.654064,1.300000,1.300000
6.447405,2.727919,1.297112,1.297112
6.398265,2.798545,1.277693,1.277693
6.344389,2.865411,1.290349,1.290349
6.285933,2.928321,1.277693,1.277693
6.222896,2.986705,1.253994,1.253994
6.155938,3.040960,1.210372,1.210372
6.086805,3.092687,1.204159,1.204159
6.016518,3.142963,1.188486,1.188486
5.944426,3.190192,1.167262,1.167262
5.869989,3.232538,1.166190,1.166190
5.793393,3.270347,1.150000,1.150000
5.714400,3.303210,1.123610,1.123610
5.632775,3.330410,1.100000,1.100000
5.549540,3.353697,1.054751,1.054751
5.466025,3.375932,1.050000,1.050000
5.382040,3.396265,1.029563,1.029563
5.297503,3.414101,1.000000,1.000000
5.212511,3.429457,0.996243,0.996243
5.127156,3.442644,0.982344,0.982344
5.041451,3.453751,0.961769,0.961769
4.955587,3.463824,0.961769,0.961769
4.869550,3.471765,0.970824,0.970824
4.783412,3.477844,0.996243,0.996243
4.697184,3.482157,1.000000,1.000000
4.610860,3.484656,1.000000,1.000000
4.524396,3.485000,1.000000,1.000000
4.437926,3.485000,1.000000,1.000000
4.351455,3.485000,1.000000,1.000000
4.264984,3.485000,1.000000,1.000000
4.178513,3.485000,1.000000,1.000000
4.092043,3.485000,1.000000,1.000000
4.005572,3.485000,1.000000,1.000000
3.919101,3.485000,1.000000,1.000000
3.832631,3.485000,1.000000,1.000000
3.746341,3.487163,1.000000,1.000000
3.660331,3.492421,1.000000,1.000000
3.574476,3.499975,0.984886,0.984886
3.488693,3.509077,0.948683,0.948683
3.402931,3.518966,0.950000,0.950000
3.316988,3.526803,0.950000,0.950000
3.230764,3.531545,0.950000,0.950000
3.144386,3.533992,0.950000,0.950000
3.057938,3.534727,0.950000,0.950000
2.971494,3.533779,0.950000,0.950000
2.885133,3.531047,0.950000,0.950000
2.798933,3.525966,0.950000,0.950000
2.712829,3.520428,0.950000,0.950000
2.626734,3.515640,0.950000,0.950000
2.540631,3.512478,0.950000,0.950000
2.454506,3.512424,0.951315,0.951315
2.368361,3.516918,0.955249,0.955249
2.282376,3.524818,0.970824,0.970824
2.196570,3.533900,0.996243,0.996243
2.110879,3.540136,1.000000,1.000000
2.025179,3.543602,1.000000,1.000000
1.939350,3.544260,1.000000,1.000000
1.853266,3.541899,1.000000,1.000000
1.766993,3.537767,1.000000,1.000000
1.680589,3.535751,1.000000,1.000000
1.594135,3.535329,1.000000,1.000000
1.507695,3.536456,1.000000,1.000000
1.421341,3.539361,1.000000,1.000000
1.335161,3.544702,1.000000,1.000000
1.249261,3.553138,1.000000,1.000000
1.163514,3.562768,1.012423,1.012423
1.077757,3.570703,1.030776,1.030776
0.991978,3.575483,1.050000,1.050000
0.906279,3.574970,1.050000,1.050000
0.820491,3.569180,1.050000,1.050000
0.734569,3.562594,1.044031,1.044031
0.648648,3.557608,1.044031,1.044031
0.562675,3.554302,1.019804,1.019804
0.476569,3.551818,1.011187,1.011187
0.390336,3.550036,1.001249,1.001249
0.304102,3.546822,1.000000,1.000000
0.217856,3.542222,1.000000,1.000000
0.131606,3.537568,1.000000,1.000000
0.045237,3.535225,1.000000,1.000000
-0.041197,3.534362,1.000000,1.000000
-0.127650,3.534273,1.000000,1.000000
-0.214112,3.534726,1.000000,1.000000
-0.300579,3.535000,1.000000,1.000000
-0.387050,3.535000,1.000000,1.000000
-0.473515,3.535391,1.000000,1.000000
-0.559922,3.537082,1.000000,1.000000
-0.645917,3.542391,1.000000,1.000000
-0.731496,3.551419,1.000000,1.000000
-0.816925,3.562698,0.982344,0.982344
-0.902223,3.575762,1.004988,1.004988
-0.987383,3.590115,1.001249,1.001249
-1.072629,3.604177,1.000000,1.000000
-1.157508,3.619574,1.012423,1.012423
-1.241244,3.639281,1.050000,1.050000
-1.323882,3.663227,1.029563,1.029563
-1.405815,3.690078,1.068878,1.068878
-1.487236,3.718914,1.097725,1.097725
-1.568747,3.747540,1.101136,1.101136
-1.650786,3.774687,1.140175,1.140175
-1.733099,3.801104,1.150000,1.150000
-1.815166,3.828218,1.180042,1.180042
-1.896760,3.856620,1.200000,1.200000
-1.977723,3.886814,1.237942,1.237942
-2.058146,3.918518,1.272792,1.272792
-2.138203,3.951183,1.300000,1.300000
-2.217960,3.984581,1.343503,1.343503
-2.293375,4.022794,1.379311,1.379311
-2.358220,4.070800,1.382932,1.382932
-2.412030,4.128784,1.390144,1.390144
-2.454763,4.196711,1.400000,1.400000
-2.486522,4.274307,1.350926,1.350926
-2.512067,4.356895,1.353699,1.353699
-2.538040,4.439316,1.315295,1.315295
-2.563218,4.521953,1.320984,1.320984
-2.587312,4.604871,1.298075,1.298075
-2.609795,4.688178,1.297112,1.297112
-2.629552,4.772158,1.253994,1.253994
-2.645583,4.857041,1.250000,1.250000
-2.658950,4.942367,1.250000,1.250000
-2.669035,5.028080,1.225765,1.225765
-2.674137,5.114018,1.209339,1.209339
-2.675074,5.200107,1.204159,1.204159
-2.673056,5.286303,1.200000,1.200000
-2.669276,5.372562,1.200000,1.200000
-2.664971,5.458858,1.200000,1.200000
-2.662321,5.545240,1.200000,1.200000
-2.660805,5.631682,1.200000,1.200000
-2.658854,5.718084,1.200000,1.200000
-2.655292,5.804387,1.201041,1.201041
-2.649331,5.890521,1.201041,1.201041
-2.640566,5.976415,1.200000,1.200000
-2.629488,6.062109,1.217580,1.217580
-2.615903,6.147416,1.234909,1.234909
-2.599652,6.232216,1.250000,1.250000
-2.581361,6.316606,1.250000,1.250000
-2.561509,6.400658,1.264911,1.264911
-2.540107,6.484397,1.258968,1.258968
-2.518498,6.568116,1.297112,1.297112
-2.497475,6.651983,1.300000,1.300000
-2.476446,6.735848,1.320038,1.320038
-2.454934,6.819577,1.350000,1.350000
-2.432162,6.902940,1.346291,1.346291
-2.407504,6.985739,1.400000,1.400000
-2.380472,7.067795,1.421267,1.421267
-2.351254,7.149112,1.450000,1.450000
-2.320359,7.229836,1.484924,1.484924
-2.288269,7.310116,1.500000,1.500000
-2.255469,7.390121,1.550000,1.550000
-2.222283,7.469969,1.591383,1.591383
-2.183036,7.545079,1.591383,1.591383
-2.134369,7.610729,1.626346,1.626346
-2.076169,7.666524,1.626346,1.626346
-2.008247,7.712054,1.600000,1.600000
-1.930577,7.746928,1.562050,1.562050
-1.848990,7.775392,1.550000,1.550000
-1.766688,7.801705,1.511622,1.511622
-1.683716,7.825809,1.500000,1.500000
-1.600108,7.847595,1.476482,1.476482
-1.515922,7.867011,1.450000,1.450000
-1.431219,7.884023,1.439618,1.439618
-1.346054,7.898524,1.423025,1.423025
-1.260596,7.911407,1.400000,1.400000
-1.174928,7.922989,1.400000,1.400000
-1.089084,7.933224,1.400000,1.400000
-1.003100,7.942052,1.382932,1.382932
-0.917022,7.949496,1.364734,1.364734
-0.830790,7.954717,1.353699,1.353699
-0.744430,7.957837,1.350926,1.350926
-0.657998,7.959394,1.350000,1.350000
-0.571536,7.959939,1.350000,1.350000
-0.485065,7.960000,1.350000,1.350000
-0.398598,7.959716,1.350000,1.350000
-0.312150,7.958622,1.350000,1.350000
-0.225756,7.956190,1.353699,1.353699
-0.139464,7.951880,1.358308,1.358308
-0.053332,7.945226,1.372953,1.372953
0.032693,7.936936,1.394633,1.394633
0.118600,7.927277,1.400000,1.400000
0.204343,7.916233,1.400000,1.400000
0.289887,7.903851,1.408013,1.408013
0.375203,7.890180,1.439618,1.439618
0.460364,7.875418,1.450000,1.450000
0.545375,7.859696,1.453444,1.453444
0.630222,7.843094,1.486607,1.486607
0.714887,7.825643,1.500000,1.500000
0.799330,7.807281,1.498332,1.498332
0.883312,7.786973,1.544345,1.544345
0.966718,7.764407,1.550000,1.550000
1.049501,7.739639,1.581139,1.581139
1.131615,7.712726,1.600000,1.600000
1.213045,7.683799,1.632483,1.632483
1.293807,7.653035,1.662077,1.662077
1.370466,7.615932,1.700000,1.700000
1.441442,7.570977,1.732772,1.732772
1.507233,7.518850,1.732772,1.732772
1.567780,7.459744,1.732772,1.732772
1.622765,7.393568,1.720465,1.720465
1.675513,7.325082,1.706605,1.706605
1.727257,7.255871,1.710263,1.710263
1.777639,7.185653,1.706605,1.706605
1.826856,7.114583,1.691892,1.691892
1.875331,7.042989,1.710263,1.710263
1.923292,6.971038,1.702939,1.702939
