# x_m, y_m, w_tr_right_m, w_tr_left_m
# ICRA 2025 competition track, car10 map. Centreline extracted from the ROS
# occupancy grid beside this file by tools/centerline_from_map.py.
# lap 106.9 m, 800 points, closure gap 0.15 m, 100% of the centreline inside the corridor.
0.46001, -6.10833, 0.50000, 0.50000
0.58676, -6.12500, 0.50249, 0.50249
0.72043, -6.12500, 0.52202, 0.52202
0.84796, -6.13979, 0.50249, 0.50249
0.97472, -6.15646, 0.53852, 0.53852
1.09458, -6.18979, 0.50990, 0.50990
1.21366, -6.22500, 0.53852, 0.53852
1.33007, -6.26665, 0.50990, 0.50990
1.44992, -6.29998, 0.52202, 0.52202
1.56978, -6.33331, 0.52202, 0.52202
1.68870, -6.36890, 0.50249, 0.50249
1.80855, -6.40223, 0.49244, 0.49244
1.92841, -6.43557, 0.49244, 0.49244
2.04733, -6.47116, 0.50990, 0.50990
2.16549, -6.50858, 0.50990, 0.50990
2.28535, -6.54191, 0.50000, 0.50000
2.41051, -6.56242, 0.50990, 0.50990
2.53897, -6.57500, 0.50000, 0.50000
2.66469, -6.59416, 0.46098, 0.46098
2.78225, -6.63304, 0.50000, 0.50000
2.89520, -6.68304, 0.55000, 0.55000
3.00924, -6.73041, 0.53852, 0.53852
3.12449, -6.77487, 0.53852, 0.53852
3.23744, -6.82487, 0.55902, 0.55902
3.35034, -6.87500, 0.55902, 0.55902
3.46805, -6.91351, 0.54083, 0.54083
3.58450, -6.95507, 0.53852, 0.53852
3.70435, -6.98840, 0.50249, 0.50249
3.81839, -7.03577, 0.53852, 0.53852
3.92785, -7.09421, 0.53852, 0.53852
4.04080, -7.14421, 0.55902, 0.55902
4.15481, -7.19167, 0.51478, 0.51478
4.27466, -7.22500, 0.52202, 0.52202
4.38512, -7.28103, 0.55227, 0.55227
4.49807, -7.33103, 0.58310, 0.58310
4.61088, -7.38137, 0.55902, 0.55902
4.72633, -7.42535, 0.55902, 0.55902
4.83928, -7.47535, 0.57009, 0.57009
4.95237, -7.52500, 0.55902, 0.55902
5.06532, -7.57500, 0.57009, 0.57009
5.17828, -7.62500, 0.55902, 0.55902
5.29123, -7.67500, 0.57009, 0.57009
5.40007, -7.73493, 0.55902, 0.55902
5.50611, -7.80160, 0.61847, 0.61847
5.60754, -7.87942, 0.62650, 0.62650
5.70694, -7.96215, 0.67082, 0.67082
5.79119, -8.05786, 0.67082, 0.67082
5.86213, -8.16213, 0.71589, 0.71589
5.91948, -8.27204, 0.72801, 0.72801
5.97376, -8.38322, 0.75664, 0.75664
6.02114, -8.49726, 0.80000, 0.80000
6.07033, -8.61055, 0.85000, 0.85000
6.11078, -8.72745, 0.90000, 0.90000
6.14798, -8.84571, 0.90139, 0.90139
6.18212, -8.96523, 0.97082, 0.97082
6.21771, -9.08415, 1.04403, 1.04403
6.25703, -9.18642, 1.12361, 1.12361
